Index	Word
0716	Awash
0717	Avast
0718	ASW
0719	Asylum harbour
0720	Astern gear
0721	Astern
0722	Astarboard
0723	Assembly station
0724	Ashore
0725	Armament
0726	Archboard
0727	Aport
0728	Anti-rolling tanks
0729	Answer
0731	Anchorage
0732	Anchor winch
0733	Anchor watch
0734	Anchor sentinel
0735	Anchor rode
0736	Anchor light
0737	Anchor home
0738	Anchor detail
0739	Anchor buoy
0740	Anchor ball
0741	Amidships
0742	Alongside
0743	Aloft
0744	Allision
0745	All standing
0746	All hands
0747	Alee
0748	Ahull
0749	Ahoy
0750	Ahead
0751	Aground
0752	Afternoon watch
0753	Afterbrow
0754	Afore
0755	Afloat
0756	Adviso
0757	Advance note
0758	Adrift
0759	Action stations
0760	Absentee pennant
0761	Above-water hull
0762	Above board
0763	About
0764	Aboard
0765	Able seaman
0766	Abeam
0767	Abandon ship
0768	Abaft the beam
0769	Abaft
0770	Aback
